query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,Cost,Trials
query_cycle_6_164.graph,WJ_importance_multi,31196.0,28768.45045021888,-0.07781605173038597,0.07781605173038597,0.0032507887943398033,1002,10459
query_cycle_6_165.graph,WJ_uniform_multi,989027.0,174393.98006517155,-0.8236711636131555,0.8236711636131555,0.005175388154111558,1001,5217
query_cycle_6_165.graph,WJ_importance_multi,989027.0,157318.92175140698,-0.8409356653039736,0.8409356653039736,0.008490930142802007,1001,5182
query_cycle_6_167.graph,WJ_uniform_multi,71286.0,7169.232326032714,-0.8994300097349731,0.8994300097349731,0.001709638665557712,1001,21642
query_cycle_6_167.graph,WJ_importance_multi,71286.0,16404.160939375222,-0.7698824321833849,0.7698824321833849,0.002552183027982864,1002,21942
query_cycle_6_172.graph,WJ_uniform_multi,70965.0,234319.4166085136,2.3019011711197574,2.3019011711197574,0.0004361479413817167,1001,45856
query_cycle_6_172.graph,WJ_importance_multi,70965.0,104103.33201943205,0.4669672658272677,0.4669672658272677,0.0007021144446544787,1001,37031
query_cycle_6_173.graph,WJ_uniform_multi,31196.0,14634.968053876706,-0.530870366268858,0.530870366268858,0.003108271455707132,1000,11582
query_cycle_6_173.graph,WJ_importance_multi,31196.0,30413.73515095044,-0.025075806162634936,0.025075806162634936,0.005248868778280543,1002,11050
query_cycle_6_174.graph,WJ_uniform_multi,3999965.0,3035413.871101871,-0.24113989219858895,0.24113989219858895,0.06444906444906445,1000,481
query_cycle_6_174.graph,WJ_importance_multi,3999965.0,3585568.4697537604,-0.1036000390619017,0.1036000390619017,0.08928571428571429,1001,504
query_cycle_6_175.graph,WJ_uniform_multi,917724.0,222128.98740970073,-0.7579566542776469,0.7579566542776469,0.00784313725490196,1000,4845
query_cycle_6_175.graph,WJ_importance_multi,917724.0,215867.3776021702,-0.764779631346494,0.764779631346494,0.010505581089954037,1002,4569
query_cycle_6_176.graph,WJ_uniform_multi,71286.0,223654.62592754257,2.1374270674121507,2.1374270674121507,0.0033173286774334353,1000,11455
query_cycle_6_176.graph,WJ_importance_multi,71286.0,449926.3634389325,5.31156697582881,5.31156697582881,0.005267459812914359,1000,11011
query_cycle_6_178.graph,WJ_uniform_multi,1509704.0,50899307.366257496,32.714759559660365,32.714759559660365,0.007136739937196689,1002,3503
query_cycle_6_178.graph,WJ_importance_multi,1509704.0,90826.89698924687,-0.9398379437364895,0.9398379437364895,0.007311129163281885,1000,3693
query_cycle_6_180.graph,WJ_uniform_multi,38944.0,8127.8372,-0.7912942378800328,0.7912942378800328,0.00032,851,50000
query_cycle_6_180.graph,WJ_importance_multi,38944.0,18504.925889018632,-0.5248324288974262,0.5248324288974262,0.00028,733,50000
query_cycle_6_181.graph,WJ_uniform_multi,70965.0,44543.43886414528,-0.3723182010266289,0.3723182010266289,0.00017224833288220675,1002,40639
query_cycle_6_181.graph,WJ_importance_multi,70965.0,138282.78248046892,0.9486054037972087,0.9486054037972087,0.0006344694566403573,1002,39403
